Population,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk
"North Macedonia","51","Notavailable","4.9","2.8","0.96",
"Mali","58","Notavailable","0.57","1.2","0.23",
"Sudan","71","Notavailable","0.32","0.55","0.13",
"Chad","58","Notavailable","0.71","1.6","0.20",
"South Sudan","56","Notavailable","1.00","1.9","0.53",
"Panama","60","Notavailable","2.8","2.4","0.68",
"El Salvador","38","Notavailable","1.3","1.2","0.33",
"Israel","49","Notavailable","1.1","0.93","0.19",
"Sierra Leone","30","Notavailable","0.75","1.6","0.56",
"Guatemala","42","Notavailable","0.48","0.66","0.30",
"Estonia","39","Notavailable","6.2","3.5","0.76",
"Lesotho","28","Notavailable","2.6","3.8","0.77",
"Eswatini","26","Notavailable","4.6","8.0","1.66",
"Oman","33","Notavailable","0.98","2.1","0.59",
"Iraq","36","Notavailable","0.18","0.35","0.09",
"Tajikistan","33","Notavailable","0.69","1.1","0.28",
"Namibia","39","Notavailable","3.2","5.6","0.92",
"Luxembourg","31","Notavailable","9.8","5.9","1.14",
"Jamaica","47","Notavailable","3.2","2.7","0.65",
"Congo, Republic of","18","Notavailable","0.65","1.5","0.40",
"Somalia","36","Notavailable","0.45","0.95","0.21",
"Guinea","32","Notavailable","0.50","1.2","0.38",
"Burkina Faso","30","Notavailable","0.29","0.47","0.09",
"Mauritania","20","Notavailable","0.86","1.7","0.59",
"Yemen","29","Notavailable","0.19","0.44","0.15",
"Albania","29","Notavailable","2.0","1.2","0.29",
"France, Guadeloupe","19","Notavailable","10.3","5.3","1.15",
"Gabon","27","Notavailable","2.4","4.1","1.09",
"Mauritius","24","Notavailable","3.8","2.5","0.39",
"Syrian Arab Republic","27","Notavailable","0.31","0.44","0.11",
"France, Martinique","17","Notavailable","9.8","4.5","0.96",
"Cyprus","20","Notavailable","3.3","2.1","0.57",
"Jordan","17","Notavailable","0.33","0.47","0.08",
"Central African Republic","18","Notavailable","0.75","1.6","0.24",
"Kyrgyzstan","23","Notavailable","0.71","0.96","0.16",
"Libya","14","Notavailable","0.40","0.53","0.17",
"Trinidad and Tobago","27","Notavailable","3.9","3.0","0.60",
"France, New Caledonia","9","Notavailable","6.3","4.9","0.76",
"Lebanon","19","Notavailable","0.55","0.51","0.15",
"Cabo Verde","12","Notavailable","4.3","5.3","0.74",
"Gaza Strip and West Bank","9","Notavailable","0.35","0.70","0.19",
"Iceland","13","Notavailable","7.6","4.9","0.79",
"Mongolia","12","Notavailable","0.74","1.0","0.18",
"Liberia","13","Notavailable","0.51","1.00","0.23",
"Kuwait","15","Notavailable","0.57","0.56","0.11",
"United Arab Emirates","14","Notavailable","0.20","0.47","0.12",
"Armenia","13","Notavailable","0.93","0.68","0.25",
"French Guiana","8","Notavailable","5.4","5.9","0.84",
"French Polynesia","6","Notavailable","4.2","3.4","0.50",
"Malta","10","Notavailable","4.5","1.9","0.46",
"Montenegro","14","Notavailable","4.5","2.8","0.57",
"Equatorial Guinea","10","Notavailable","1.3","2.4","0.28",
"Saint Lucia","6","Notavailable","6.6","4.9","1.32",
"Fiji","7","Notavailable","1.5","1.8","0.98",
"Guyana","6","Notavailable","1.5","1.6","0.23",
"Bhutan","6","Notavailable","1.5","1.5","0.22",
"Barbados","7","Notavailable","5.0","3.2","0.47",
"Bahamas","8","Notavailable","4.2","3.8","0.52",
"Suriname","6","Notavailable","2.0","2.2","0.70",
"Qatar","6","Notavailable","0.28","0.46","0.06",
"Bahrain","4","Notavailable","0.36","0.60","0.08",
"Comoros","4","Notavailable","0.91","2.0","0.34",
"Solomon Islands","3","Notavailable","0.86","1.3","0.70",
"Eritrea","3","Notavailable","0.17","0.29","0.07",
"Guinea-Bissau","2","Notavailable","0.21","0.49","0.06",
"The Republic of the Gambia","3","Notavailable","0.25","0.53","0.06",
"Vanuatu","1","Notavailable","0.64","0.91","0.08",
"Guam","1","Notavailable","1.2","0.96","0.16",
