Population,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk
"Mongolia","520","Notavailable","15.9","20.9","5.76",
"Angola","881","Notavailable","2.7","6.4","1.55",
"Guatemala","624","Notavailable","3.5","4.7","1.46",
"Montenegro","493","Notavailable","78.5","44.1","8.49",
"Honduras","510","Notavailable","5.1","6.9","1.81",
"Cameroon","643","Notavailable","2.4","4.7","0.97",
"Madagascar","761","Notavailable","2.7","5.1","1.26",
"Costa Rica","488","Notavailable","9.6","6.5","2.17",
"El Salvador","513","Notavailable","7.9","6.4","2.24",
"Tajikistan","468","Notavailable","4.9","7.9","2.17",
"Zimbabwe","480","Notavailable","3.2","6.7","1.86",
"France, La Réunion","423","Notavailable","47.2","29.4","6.77",
"Luxembourg","396","Notavailable","63.3","33.2","8.91",
"Rwanda","445","Notavailable","3.4","6.2","1.35",
"Panama","390","Notavailable","9.0","7.3","2.36",
"Mali","596","Notavailable","2.9","6.4","1.52",
"Côte d'Ivoire","489","Notavailable","1.9","3.9","1.27",
"Nicaragua","313","Notavailable","4.7","5.5","1.70",
"Somalia","447","Notavailable","2.8","5.8","1.26",
"Mozambique","474","Notavailable","1.5","2.9","0.56",
"Malta","277","Notavailable","62.7","23.1","7.23",
"Trinidad and Tobago","277","Notavailable","19.8","13.1","3.46",
"Senegal","406","Notavailable","2.4","4.5","0.94",
"United Arab Emirates","308","Notavailable","3.1","8.1","2.63",
"Zambia","346","Notavailable","1.9","4.7","1.42",
"Iceland","216","Notavailable","63.3","30.6","9.16",
"Guinea","263","Notavailable","2.0","3.9","0.57",
"Mauritius","254","Notavailable","20.0","12.0","3.59",
"Kuwait","252","Notavailable","5.9","9.6","3.06",
"Malawi","335","Notavailable","1.8","3.6","0.87",
"Burkina Faso","338","Notavailable","1.6","3.6","0.89",
"Burundi","271","Notavailable","2.3","5.3","1.25",
"France, New Caledonia","185","Notavailable","64.8","47.9","12.79",
"Niger","261","Notavailable","1.1","2.5","0.52",
"Chad","265","Notavailable","1.6","3.7","0.82",
"French Polynesia","155","Notavailable","55.2","43.5","9.10",
"Oman","205","Notavailable","4.0","7.3","1.59",
"Brunei Darussalam","126","Notavailable","28.8","32.5","11.35",
"South Sudan","237","Notavailable","2.1","3.9","0.84",
"Suriname","128","Notavailable","21.8","19.8","6.06",
"Benin","183","Notavailable","1.5","2.7","0.57",
"Namibia","185","Notavailable","7.3","12.0","2.73",
"France, Guadeloupe","124","Notavailable","31.0","14.3","3.34",
"France, Martinique","116","Notavailable","30.9","12.4","3.11",
"Bahrain","114","Notavailable","6.7","13.3","4.97",
"Sierra Leone","151","Notavailable","1.9","3.5","0.81",
"Guam","96","Notavailable","56.9","39.5","11.44",
"Timor-Leste","98","Notavailable","7.4","11.5","2.87",
"Qatar","117","Notavailable","4.1","11.4","4.07",
