Population,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk
"Cyprus","47","[31.3-70.5]","7.8","6.8","0.57",
"Armenia","43","[36.5-50.7]","3.1","2.9","0.24",
"Gaza Strip and West Bank","42","[3.5-508.6]","1.6","1.6","0.12",
"Lithuania","38","[27.3-52.9]","3.0","2.6","0.26",
"El Salvador","38","[16.0-90.0]","1.3","1.2","0.13",
"United Arab Emirates","38","[20.5-70.4]","0.56","0.49","0.04",
"Kenya","35","[10.4-117.3]","0.13","0.16","0.02",
"Tunisia","35","[18.3-66.8]","0.60","0.53","0.10",
"Panama","35","[12.6-96.9]","1.6","1.5","0.17",
"Cameroon","35","[5.9-205.9]","0.26","0.42","0.05",
"Oman","34","[13.2-87.5]","1.0","0.49","0.03",
"Chad","33","[4.4-247.0]","0.40","0.59","0.06",
"Latvia","33","[23.3-46.8]","3.8","3.1","0.32",
"Mali","32","[9.4-109.2]","0.32","0.63","0.23",
"Republic of Moldova","30","[11.6-77.6]","1.6","1.3","0.10",
"Yemen","28","[7.5-104.0]","0.19","0.16","0.01",
"Puerto Rico","28","[21.3-36.9]","2.1","2.2","0.18",
"Burkina Faso","28","[3.4-231.7]","0.27","0.50","0.25",
"Luxembourg","28","[16.5-47.7]","8.8","7.8","0.62",
"Niger","28","[2.4-320.3]","0.23","0.37","0.03",
"Montenegro","27","[17.4-41.9]","8.7","8.3","0.61",
"Mozambique","27","[3.6-199.8]","0.18","0.21","0.02",
"Kyrgyzstan","26","[11.1-61.0]","0.81","0.80","0.06",
"Madagascar","25","[2.1-293.2]","0.18","0.25","0.03",
"Somalia","25","[2.1-293.1]","0.32","0.46","0.05",
"Rwanda","25","[3.0-207.6]","0.39","0.75","0.13",
"Libya","23","[5.6-94.8]","0.66","0.63","0.06",
"Nepal","23","[11.3-46.7]","0.17","0.20","0.02",
"Tajikistan","23","[7.4-71.4]","0.48","0.47","0.03",
"Malawi","21","[2.2-200.6]","0.22","0.38","0.06",
"Estonia","21","[13.3-33.2]","3.3","3.2","0.24",
"Lao People's Democratic Republic","20","[1.8-218.0]","0.55","0.54","0.06",
"Zambia","20","[4.8-83.7]","0.22","0.54","0.26",
"Benin","19","[1.9-187.0]","0.31","0.63","0.47",
"Kuwait","19","[12.3-29.4]","0.73","0.77","0.06",
"Fiji","18","[14.5-22.3]","4.0","3.8","0.59",
"Qatar","17","[2.1-138.0]","0.79","0.58","0.04",
"South Sudan","16","[1.4-187.6]","0.29","0.39","0.04",
"Burundi","16","[1.4-187.6]","0.27","0.49","0.07",
"Malta","14","[7.7-25.3]","6.3","5.7","0.46",
"Togo","14","[3.7-52.8]","0.34","0.75","0.46",
"Mauritius","14","[8.0-24.4]","2.2","2.0","0.16",
"Senegal","14","[1.2-169.7]","0.17","0.21","0.05",
"Namibia","13","[6.7-25.3]","1.1","1.3","0.13",
"Guinea","12","[0.90-163.7]","0.19","0.23","0.07",
"Mongolia","12","[5.7-25.0]","0.74","0.64","0.05",
"Trinidad and Tobago","12","[1.6-90.3]","1.7","1.6","0.15",
"Côte d'Ivoire","11","[1.6-74.0]","0.08","0.11","0.01",
"France, La Réunion","11","[5.4-22.3]","2.5","2.7","0.22",
"Eritrea","10","[0.90-117.3]","0.56","0.84","0.09",
"Zimbabwe","10","[2.0-50.4]","0.14","0.17","0.03",
"Dominican Republic","9","[2.3-34.5]","0.17","0.15","0.04",
"Iceland","9","[5.1-16.0]","5.3","5.1","0.38",
"Bahrain","7","[2.3-21.8]","0.64","0.54","0.06",
"Sierra Leone","7","[3.3-14.7]","0.18","0.25","0.11",
"Suriname","5","[4.3-5.8]","1.7","1.5","0.13",
"Central African Republic","5","[0.70-37.4]","0.21","0.32","0.03",
"Jamaica","5","[0.80-32.6]","0.34","0.30","0.03",
"Solomon Islands","5","[0.70-35.7]","1.4","1.7","0.14",
"Cabo Verde","3","[0.30-34.0]","1.1","1.8","0.24",
"Mauritania","3","[0.20-36.4]","0.13","0.14","0.01",
"French Polynesia","3","[0.70-12.4]","2.1","1.9","0.14",
"Timor-Leste","3","[0.30-32.7]","0.45","0.40","0.03",
"France, Guadeloupe","2","[0.60-6.2]","1.1","1.1","0.08",
"France, New Caledonia","2","[0.40-9.0]","1.4","1.4","0.09",
"Samoa","2","[0.40-9.4]","1.9","2.0","0.14",
"Liberia","2","[0.20-24.2]","0.08","0.07","0.01",
"Maldives","2","[0.60-6.9]","0.58","0.22","0.02",
"France, Martinique","2","[0.50-8.1]","1.2","0.93","0.08",
"Gabon","2","[0.20-21.7]","0.18","0.14","0.01",
"Lesotho","1","[0.20-5.9]","0.09","0.08","0.01",
"Congo, Republic of","1","[0.10-10.3]","0.04","0.03","0.00",
"The Republic of the Gambia","1","[0.10-11.2]","0.08","0.10","0.01",
"Brunei Darussalam","1","[0.20-5.6]","0.44","0.44","0.03",
"Botswana","1","[0.20-4.3]","0.09","0.07","0.01",
"Equatorial Guinea","1","[0.10-7.5]","0.13","0.09","0.01",
"French Guiana","1","[0.10-6.8]","0.68","0.63","0.05",
"Eswatini","1","[0.20-4.0]","0.18","0.15","0.01",
"Guyana","1","[0.10-11.4]","0.25","0.32","0.05",
