Population,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk
"Syrian Arab Republic","95","[22.7-397.5]","0.54","0.67","0.15",
"Lebanon","88","[67.9-114.0]","1.3","1.2","0.29",
"Azerbaijan","86","[60.7-121.9]","0.85","0.74","0.21",
"Cyprus","85","[63.2-114.4]","7.0","4.5","0.93",
"Tunisia","81","[49.1-133.7]","0.69","0.54","0.15",
"Guatemala","72","[45.7-113.5]","0.40","0.56","0.15",
"Namibia","71","[54.7-92.2]","2.8","4.9","1.73",
"Mali","70","[29.6-165.8]","0.35","0.82","0.23",
"Cambodia","67","[12.4-362.8]","0.40","0.50","0.13",
"Burkina Faso","66","[11.8-370.6]","0.32","0.74","0.14",
"Honduras","65","[25.7-164.2]","0.66","0.85","0.18",
"Rwanda","64","[19.4-211.2]","0.49","0.79","0.12",
"Zambia","61","[24.7-150.8]","0.33","0.79","0.11",
"Armenia","60","[55.4-64.9]","2.0","1.5","0.25",
"Montenegro","58","[42.1-79.9]","9.2","5.6","1.13",
"Albania","56","[28.4-110.2]","1.9","1.5","0.21",
"Singapore","55","[31.7-95.3]","0.94","0.56","0.13",
"Senegal","54","[15.2-191.8]","0.32","0.68","0.15",
"Malta","52","[38.7-69.9]","11.8","6.8","1.12",
"Saudi Arabia","52","[33.2-81.5]","0.15","0.22","0.07",
"Côte d'Ivoire","52","[20.0-134.9]","0.20","0.42","0.14",
"South Sudan","52","[13.0-208.5]","0.46","0.94","0.32",
"Burundi","52","[13.0-208.5]","0.44","1.0","0.32",
"Guinea","48","[15.3-150.1]","0.37","0.78","0.20",
"Togo","47","[23.1-95.8]","0.57","1.3","0.54",
"Iceland","47","[34.7-63.7]","13.8","8.8","1.66",
"Turkmenistan","45","[22.5-90.1]","0.75","0.86","0.19",
"Chad","43","[16.6-111.1]","0.26","0.60","0.14",
"Nepal","43","[23.6-78.2]","0.15","0.17","0.05",
"Somalia","43","[10.7-172.4]","0.27","0.55","0.12",
"Congo, Republic of","42","[19.9-88.7]","0.76","1.8","0.54",
"Panama","42","[24.8-71.2]","0.97","0.80","0.23",
"Nicaragua","41","[23.7-70.9]","0.62","0.68","0.20",
"Dominican Republic","41","[20.3-82.6]","0.38","0.35","0.07",
"France, La Réunion","39","[26.6-57.2]","4.4","3.3","0.56",
"Yemen","37","[11.2-122.6]","0.12","0.27","0.09",
"Kyrgyzstan","36","[21.2-61.2]","0.55","0.67","0.21",
"Haiti","31","[16.4-58.6]","0.27","0.32","0.09",
"Niger","31","[5.5-173.7]","0.13","0.28","0.04",
