Population,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk
"Tunisia","1186","[1014.0-1387.2]","20.2","17.0","7.55",
"Iraq","1117","[1042.9-1196.3]","5.5","12.9","5.24",
"Syrian Arab Republic","1083","[307.7-3811.5]","12.4","19.0","7.33",
"Nicaragua","1063","[853.2-1324.4]","32.6","44.7","13.92",
"Rwanda","1054","[752.4-1476.5]","16.6","39.4","11.72",
"Kazakhstan","1028","[950.1-1112.3]","11.3","12.8","4.39",
"Lebanon","1027","[950.3-1109.9]","29.9","28.5","10.39",
"Georgia","1004","[957.9-1052.3]","52.8","32.3","8.52",
"Burkina Faso","997","[657.4-1512.1]","9.5","35.9","15.36",
"Malawi","934","[543.9-1603.8]","9.9","32.6","14.20",
"Uzbekistan","929","[636.5-1356.0]","5.6","8.5","2.65",
"Sri Lanka","896","[823.5-974.9]","8.7","6.3","2.19",
"Armenia","892","[851.0-935.0]","64.0","45.8","11.82",
"Bosnia and Herzegovina","889","[777.4-1016.6]","55.3","24.9","9.10",
"Trinidad and Tobago","884","[760.8-1027.2]","127.9","89.2","23.06",
"Senegal","880","[121.2-6390.2]","10.8","28.7","11.94",
"Benin","828","[581.8-1178.4]","13.7","32.7","12.18",
"Cyprus","821","[664.0-1015.2]","136.0","76.1","22.81",
"Republic of Moldova","808","[660.3-988.7]","41.8","30.1","8.32",
"Myanmar","800","[408.1-1568.4]","3.1","4.0","1.54",
"Albania","794","[655.9-961.2]","54.2","28.2","9.03",
"North Macedonia","785","[541.7-1137.5]","75.3","42.6","12.78",
"Burundi","756","[419.2-1363.4]","12.8","40.3","13.86",
"France, Guadeloupe","722","[658.2-792.0]","391.2","183.6","35.50",
"Mali","717","[538.9-953.9]","7.1","23.0","9.34",
"Papua New Guinea","713","[548.6-926.7]","15.6","29.0","8.26",
"Guinea","699","[516.2-946.6]","11.0","35.7","16.78",
"Chad","695","[352.6-1369.9]","8.5","24.6","7.81",
"Saudi Arabia","693","[545.4-880.5]","3.4","7.0","3.51",
"France, Martinique","659","[541.9-801.4]","381.8","168.2","30.01",
"Azerbaijan","565","[475.1-671.9]","11.2","12.1","4.38",
"Somalia","559","[310.0-1008.1]","7.1","17.1","5.44",
"South Sudan","541","[300.0-975.7]","9.7","21.6","8.03",
"Togo","499","[357.4-696.7]","12.1","32.0","12.49",
"Korea, Democratic Republic of","465","[279.7-773.1]","3.7","3.6","1.69",
"Jordan","451","[314.5-646.7]","8.7","15.8","6.40",
"Afghanistan","450","[288.3-702.5]","2.3","6.1","1.85",
"Liberia","450","[62.0-3267.7]","17.7","41.9","16.77",
"France, La Réunion","429","[377.6-487.4]","99.0","61.9","15.07",
