Population,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk
"Lao People's Democratic Republic","418","Notavailable","11.5","13.6","2.21",
"Costa Rica","422","Notavailable","16.6","13.1","1.82",
"Saudi Arabia","412","Notavailable","2.8","3.4","0.68",
"Congo, Republic of","392","Notavailable","14.2","25.5","5.23",
"Panama","385","Notavailable","17.9","15.3","2.64",
"Ireland","472","Notavailable","19.0","13.7","1.90",
"Tunisia","440","Notavailable","7.4","5.8","1.14",
"Eswatini","365","Notavailable","61.9","89.7","11.75",
"Croatia","482","Notavailable","22.7","12.7","1.96",
"Mongolia","358","Notavailable","21.5","21.6","3.66",
"Georgia","397","Notavailable","19.0","12.0","1.86",
"Tajikistan","352","Notavailable","7.4","9.1","1.38",
"Bosnia and Herzegovina","385","Notavailable","23.0","16.3","1.87",
"Singapore","403","Notavailable","14.5","8.6","1.65",
"Central African Republic","327","Notavailable","13.4","24.2","3.93",
"Iraq","354","Notavailable","1.8","2.7","0.48",
"The Republic of the Gambia","287","Notavailable","23.6","42.9","11.58",
"Uruguay","373","Notavailable","20.8","14.3","2.16",
"Latvia","351","Notavailable","34.5","21.5","2.86",
"Israel","373","Notavailable","8.6","6.8","1.13",
"Libya","269","Notavailable","7.9","8.7","1.72",
"Guinea-Bissau","246","Notavailable","24.5","40.8","6.66",
"Switzerland","695","Notavailable","15.9","7.9","1.60",
"Gabon","256","Notavailable","23.4","33.3","5.14",
"Yemen","330","Notavailable","2.2","3.9","0.78",
"Syrian Arab Republic","294","Notavailable","3.4","4.0","0.81",
"Trinidad and Tobago","226","Notavailable","31.9","22.0","4.24",
"Estonia","246","Notavailable","35.2","21.2","3.01",
"Finland","397","Notavailable","14.1","8.3","1.31",
"Eritrea","201","Notavailable","11.4","17.2","2.72",
"Armenia","192","Notavailable","12.2","8.3","1.36",
"New Zealand","321","Notavailable","13.1","8.9","1.36",
"Comoros","175","Notavailable","40.6","58.6","7.49",
"Puerto Rico","259","Notavailable","17.2","10.9","1.54",
"Fiji","144","Notavailable","32.5","31.6","5.26",
"Albania","178","Notavailable","12.6","8.3","1.31",
"Lebanon","194","Notavailable","5.7","5.2","1.13",
"Mauritius","143","Notavailable","22.2","14.2","2.79",
"Equatorial Guinea","127","Notavailable","20.4","33.8","4.50",
"United Arab Emirates","137","Notavailable","4.5","7.1","1.24",
"Guyana","125","Notavailable","32.0","30.4","4.87",
"Jordan","148","Notavailable","2.9","3.8","0.74",
"Montenegro","133","Notavailable","41.9","29.4","3.58",
"North Macedonia","136","Notavailable","13.1","8.6","1.23",
"Slovenia","197","Notavailable","18.9","10.2","1.68",
"Oman","102","Notavailable","5.9","7.6","1.10",
"Suriname","85","Notavailable","29.1","25.7","3.74",
"France, La Réunion","90","Notavailable","19.5","12.8","2.45",
"Timor-Leste","65","Notavailable","10.0","14.0","2.38",
"Solomon Islands","67","Notavailable","19.8","26.2","3.98",
"Gaza Strip and West Bank","75","Notavailable","3.0","5.6","1.59",
"Djibouti","64","Notavailable","13.6","15.6","2.25",
"Brunei Darussalam","56","Notavailable","26.6","21.6","2.53",
"Kuwait","58","Notavailable","3.5","3.2","0.51",
"Bhutan","50","Notavailable","13.8","14.9","1.87",
"Cyprus","68","Notavailable","11.3","7.3","1.30",
"Maldives","46","Notavailable","23.3","24.5","3.42",
"Cabo Verde","51","Notavailable","18.4","18.3","3.19",
"Bahamas","43","Notavailable","21.3","16.5","3.12",
"Barbados","48","Notavailable","32.4","18.6","3.44",
"Belize","34","Notavailable","17.0","19.1","3.61",
"France, New Caledonia","35","Notavailable","24.6","18.8","3.51",
"France, Guadeloupe","36","Notavailable","16.7","9.5","1.62",
"France, Martinique","32","Notavailable","15.8","8.1","1.56",
"Luxembourg","39","Notavailable","12.6","8.3","1.26",
"Qatar","29","Notavailable","4.1","7.0","1.99",
"Vanuatu","23","Notavailable","15.2","18.0","1.75",
"Bahrain","22","Notavailable","3.7","4.1","0.50",
"Saint Lucia","23","Notavailable","24.7","19.3","3.35",
"Guam","19","Notavailable","22.7","18.4","2.66",
"French Guiana","19","Notavailable","12.6","13.6","3.65",
"Iceland","23","Notavailable","13.5","10.2","1.27",
"French Polynesia","16","Notavailable","11.5","9.0","1.14",
"Sao Tome and Principe","13","Notavailable","11.9","16.0","4.67",
"Malta","25","Notavailable","11.4","5.5","1.13",
"Samoa","10","Notavailable","10.4","12.4","1.48",
